                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5721,                 2.0918,                 2.6183,                 1.4963,                0.58574,                0.58693,                0.60659,                0.35332,                0.57284,                 0.5844,                0.58489,                 0.3197,                 1.3091,                 1.3578,                 1.7658,                 1.4989,             0.00027745,             0.00027745,             0.00027745
                      2,                 1.5546,                 1.6865,                 2.0374,                 1.4675,                0.67193,                0.59597,                0.65376,                0.37239,                0.65649,                0.58514,                0.63382,                0.33779,                 1.3734,                 1.3223,                 1.6155,                 1.5391,             0.00054412,             0.00054412,             0.00054412
                      3,                 1.5624,                 1.6836,                 1.9196,                 1.4784,                 0.6666,                0.64777,                0.68256,                0.40956,                0.65141,                0.63527,                0.65925,                0.36065,                 1.3058,                 1.3291,                 1.5474,                 1.4945,              0.0007998,              0.0007998,              0.0007998
                      4,                 1.5345,                 1.6492,                 1.8192,                 1.4595,                0.75621,                0.66429,                0.74436,                0.45584,                  0.755,                0.64752,                0.72565,                0.41091,                 1.3172,                 1.2937,                 1.3855,                 1.4991,             0.00078352,             0.00078352,             0.00078352
                      5,                  1.507,                 1.6222,                 1.7118,                 1.4376,                0.73807,                0.66866,                0.74719,                0.46314,                0.73598,                0.64915,                0.72582,                0.41557,                   1.26,                 1.2552,                 1.2958,                 1.4466,             0.00076703,             0.00076703,             0.00076703
                      6,                 1.4805,                 1.5889,                  1.648,                 1.4163,                0.79552,                0.68921,                0.77762,                0.48715,                0.78275,                0.67654,                0.75456,                0.43817,                  1.242,                 1.2644,                  1.223,                  1.442,             0.00075053,             0.00075053,             0.00075053
                      7,                 1.4623,                  1.572,                 1.5726,                 1.4022,                0.77304,                0.73357,                0.80265,                0.51158,                0.76745,                0.72045,                0.78301,                0.45888,                 1.2048,                 1.2386,                 1.1393,                 1.4042,             0.00073404,             0.00073404,             0.00073404
                      8,                 1.4447,                 1.5527,                 1.5311,                 1.3927,                0.77657,                0.76699,                0.82184,                0.52366,                0.77291,                0.74797,                0.80267,                0.46937,                 1.2061,                 1.2025,                 1.0788,                 1.4022,             0.00071755,             0.00071755,             0.00071755
                      9,                 1.4374,                 1.5519,                 1.4755,                 1.3805,                 0.8076,                0.74521,                 0.8243,                0.52757,                0.79448,                0.73292,                0.80316,                0.47581,                 1.1977,                 1.1946,                  1.074,                 1.3885,             0.00070105,             0.00070105,             0.00070105
                     10,                 1.4252,                 1.5561,                 1.4522,                  1.373,                0.82486,                0.70371,                0.80672,                0.52558,                0.81066,                0.69063,                0.78274,                0.47123,                 1.1799,                 1.2171,                 1.0929,                 1.3755,             0.00068456,             0.00068456,             0.00068456
                     11,                 1.4142,                 1.5141,                 1.4147,                 1.3638,                0.82413,                0.74925,                0.83353,                0.55369,                0.81965,                0.73895,                0.81648,                0.49572,                 1.1395,                  1.193,                 1.0088,                 1.3353,             0.00066807,             0.00066807,             0.00066807
                     12,                 1.4048,                 1.5149,                  1.389,                 1.3554,                0.82969,                0.76975,                0.85055,                0.56315,                0.82176,                0.75684,                0.83318,                0.51421,                 1.1352,                 1.1365,                 0.9526,                 1.3351,             0.00065157,             0.00065157,             0.00065157
                     13,                 1.3928,                 1.4869,                 1.3603,                 1.3437,                0.83276,                0.76614,                 0.8458,                0.55882,                0.82265,                0.75648,                0.82595,                0.50075,                 1.1512,                 1.1757,                0.96612,                  1.344,             0.00063508,             0.00063508,             0.00063508
                     14,                 1.3893,                 1.4877,                   1.34,                  1.341,                0.84284,                0.77273,                 0.8543,                0.56892,                0.83862,                0.75133,                0.83202,                 0.5148,                 1.1393,                 1.1356,                0.95554,                 1.3392,             0.00061859,             0.00061859,             0.00061859
                     15,                 1.3801,                 1.4865,                 1.3168,                 1.3359,                0.86194,                0.77498,                0.86749,                0.58131,                0.85387,                0.76381,                 0.8513,                0.52511,                 1.1143,                 1.1186,                0.89176,                 1.3043,             0.00060209,             0.00060209,             0.00060209
                     16,                 1.3719,                 1.4643,                 1.2922,                 1.3297,                0.85168,                0.76588,                0.85915,                0.57933,                0.84046,                0.75539,                0.84117,                0.52323,                 1.1199,                 1.1443,                0.92681,                 1.3272,              0.0005856,              0.0005856,              0.0005856
                     17,                 1.3596,                 1.4606,                 1.2702,                 1.3194,                0.83718,                0.79225,                0.86718,                0.58644,                0.82811,                0.77719,                0.84709,                0.52696,                 1.1031,                 1.1214,                0.89008,                 1.3022,             0.00056911,             0.00056911,             0.00056911
