                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2062,                 2.4114,                 2.6195,                 1.2277,                0.32658,                0.41343,                0.26566,                 0.1649,                0.31764,                0.40163,                 0.2543,                0.13885,                 1.2119,                 2.6202,                 2.2704,                 1.3999,             0.00033278,             0.00033278,             0.00033278
                      2,                 1.2333,                 2.3126,                 2.0894,                 1.2299,                0.24491,                0.40965,                0.21462,                0.13519,                0.23938,                0.39773,                0.20716,                0.12291,                 1.2715,                 2.6489,                 2.5639,                 1.4522,             0.00065292,             0.00065292,             0.00065292
                      3,                  1.243,                  2.302,                  1.925,                 1.2318,                0.33676,                0.49055,                0.32035,                0.20879,                 0.3257,                0.48205,                0.30962,                0.17793,                 1.2405,                 2.5444,                 2.1478,                 1.4025,             0.00095987,             0.00095987,             0.00095987
                      4,                 1.1924,                 2.2273,                 1.7909,                 1.2064,                0.29356,                0.46821,                0.28253,                  0.181,                0.28762,                0.45137,                0.27526,                0.15833,                 1.1992,                 2.5716,                 2.1417,                   1.36,              0.0009406,              0.0009406,              0.0009406
                      5,                  1.214,                 2.2809,                 1.7485,                 1.2223,                0.39381,                0.42168,                0.33226,                0.20991,                0.38712,                0.41624,                0.32267,                0.17971,                 1.2422,                 2.4415,                 2.0473,                 1.3872,              0.0009208,              0.0009208,              0.0009208
                      6,                 1.1756,                 2.2041,                  1.661,                    1.2,                0.33236,                0.52936,                0.32023,                0.20071,                0.32382,                0.50229,                 0.3068,                0.16783,                 1.2016,                 2.4628,                 2.3199,                 1.3512,               0.000901,               0.000901,               0.000901
                      7,                 1.1592,                 2.1944,                 1.6219,                  1.188,                0.30435,                0.54216,                0.30439,                 0.1939,                0.29814,                 0.5257,                0.29258,                0.16308,                 1.2426,                 2.3372,                 2.0252,                 1.3897,              0.0008812,              0.0008812,              0.0008812
                      8,                 1.1404,                 2.1254,                 1.5801,                 1.1788,                0.35861,                0.53415,                0.34894,                0.21773,                0.34449,                0.51783,                0.33355,                0.19405,                 1.2109,                 2.3506,                 2.1133,                 1.3694,              0.0008614,              0.0008614,              0.0008614
                      9,                   1.13,                 2.1089,                 1.5307,                 1.1677,                0.33467,                0.59755,                0.33781,                0.21489,                0.32185,                0.56414,                0.31895,                0.18312,                 1.1204,                 2.2222,                 1.7953,                 1.3023,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.1048,                 2.0569,                 1.4793,                 1.1541,                0.35158,                 0.5834,                0.34389,                0.22077,                 0.3485,                0.56591,                0.33078,                0.18743,                 1.1163,                 2.2966,                 1.8036,                 1.2854,              0.0008218,              0.0008218,              0.0008218
                     11,                  1.102,                 2.0691,                 1.4487,                 1.1506,                0.34553,                0.61984,                0.35793,                0.22638,                0.33801,                0.57496,                0.33992,                0.18158,                 1.1358,                 2.3814,                  1.893,                 1.2984,               0.000802,               0.000802,               0.000802
                     12,                 1.0755,                 1.9967,                 1.3988,                 1.1294,                0.40887,                0.57057,                0.36928,                0.24043,                0.39665,                0.55069,                0.35051,                0.19697,                  1.091,                 2.2942,                  1.752,                 1.2762,              0.0007822,              0.0007822,              0.0007822
                     13,                 1.0693,                 1.9879,                  1.378,                 1.1315,                0.36879,                0.57311,                0.36543,                0.23562,                0.34829,                 0.5197,                0.34425,                0.19466,                 1.0996,                 2.2929,                 1.7881,                 1.2635,              0.0007624,              0.0007624,              0.0007624
                     14,                 1.0531,                 2.0011,                 1.3679,                 1.1261,                0.36086,                0.54209,                0.33784,                0.22843,                0.34985,                0.51924,                0.32176,                0.18986,                 1.0773,                 2.2013,                 1.7728,                 1.2628,              0.0007426,              0.0007426,              0.0007426
                     15,                  1.061,                 1.9784,                 1.3451,                 1.1224,                0.35805,                0.57511,                 0.3506,                0.22647,                0.35723,                0.54666,                0.33692,                0.18907,                  1.107,                 2.2898,                 1.7792,                 1.2757,              0.0007228,              0.0007228,              0.0007228
                     16,                 1.0368,                 1.9593,                 1.3012,                 1.1158,                0.36963,                0.56888,                 0.3571,                0.23421,                0.36073,                0.54794,                0.34133,                0.19715,                 1.1039,                  2.162,                 1.8712,                 1.2897,               0.000703,               0.000703,               0.000703
                     17,                  1.026,                 1.9195,                 1.2892,                 1.1107,                0.39676,                0.59564,                0.39198,                0.25248,                0.38142,                0.56743,                0.37149,                0.20924,                 1.0963,                 2.1942,                 1.6219,                 1.2617,              0.0006832,              0.0006832,              0.0006832
                     18,                 1.0139,                 1.8999,                 1.2637,                 1.0998,                0.35984,                0.56083,                0.35205,                0.24383,                0.34918,                 0.5439,                0.33456,                0.20433,                 1.0141,                 2.2008,                 1.7213,                 1.2461,              0.0006634,              0.0006634,              0.0006634
                     19,                 1.0214,                 1.8996,                 1.2632,                    1.1,                0.33367,                0.62485,                0.37194,                0.24946,                0.32631,                0.60531,                0.35802,                0.20922,                 1.0501,                 2.1967,                 1.6769,                 1.2494,              0.0006436,              0.0006436,              0.0006436
                     20,                 1.0049,                 1.8986,                 1.2474,                 1.1001,                0.32167,                0.55665,                0.33029,                 0.2231,                0.31411,                 0.5239,                 0.3156,                0.18593,                 1.0658,                 2.1597,                 1.8646,                  1.262,              0.0006238,              0.0006238,              0.0006238
                     21,                0.99708,                 1.8625,                 1.2335,                 1.0904,                 0.3378,                0.63181,                0.35322,                 0.2374,                0.32771,                0.60801,                0.33881,                0.19249,                 1.0522,                 2.1763,                 1.6686,                 1.2546,               0.000604,               0.000604,               0.000604
                     22,                0.98526,                 1.8541,                 1.2146,                 1.0868,                0.36316,                0.59336,                0.36784,                0.24986,                0.35599,                0.56604,                0.35141,                0.21008,                 1.0337,                 2.0701,                 1.6442,                 1.2323,              0.0005842,              0.0005842,              0.0005842
                     23,                0.98826,                 1.8399,                 1.1966,                 1.0805,                0.35967,                0.58043,                0.34626,                0.22835,                0.35111,                0.55738,                0.33099,                0.19046,                 1.0406,                 2.1454,                 1.7161,                 1.2364,              0.0005644,              0.0005644,              0.0005644
                     24,                0.97998,                  1.833,                 1.1823,                 1.0793,                0.37222,                0.62127,                0.37123,                0.25286,                0.36615,                0.60875,                  0.359,                0.21293,                 1.0218,                 2.0769,                 1.7018,                 1.2154,              0.0005446,              0.0005446,              0.0005446
                     25,                0.96998,                  1.788,                 1.1704,                 1.0715,                0.32836,                0.63967,                0.35789,                0.24429,                0.32262,                0.62325,                0.34593,                0.20407,                 1.0335,                 2.1048,                 1.7166,                 1.2409,              0.0005248,              0.0005248,              0.0005248
                     26,                0.96027,                 1.7769,                 1.1477,                 1.0717,                0.32807,                0.59533,                0.34828,                0.22947,                0.31935,                 0.5645,                0.33067,                0.19192,                 1.0679,                 2.1575,                 1.7287,                 1.2465,               0.000505,               0.000505,               0.000505
                     27,                0.95847,                 1.7806,                 1.1416,                 1.0657,                0.33416,                0.59356,                0.32774,                0.22347,                0.32591,                0.57997,                0.31437,                0.18446,                 1.0254,                 2.1122,                 1.6918,                 1.2341,              0.0004852,              0.0004852,              0.0004852
                     28,                0.95208,                 1.7831,                 1.1226,                 1.0661,                0.35654,                0.61334,                0.37822,                0.25829,                 0.3522,                0.57701,                0.36064,                0.21068,                 1.0203,                 2.0651,                 1.6681,                 1.2328,              0.0004654,              0.0004654,              0.0004654
                     29,                0.94258,                 1.7738,                 1.1026,                 1.0607,                0.36442,                0.61188,                0.36176,                0.24781,                0.36122,                0.59338,                0.34953,                0.20765,                 1.0179,                 2.1256,                 1.6644,                  1.216,              0.0004456,              0.0004456,              0.0004456
