                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4912,                 3.1548,                 4.4724,                  3.989,                0.00494,                0.43522,                0.00761,                0.00206,                0.00462,                0.41357,                0.00758,                0.00184,                 2.7346,                 1.7926,                 3.7006,                 3.6672,              0.0033307,              0.0033307,              0.0033307
                      2,                 2.5445,                 2.0145,                 3.6797,                 2.9324,                0.17084,                0.13475,                0.11072,                0.05137,                0.17579,                0.13011,                0.10652,                0.04678,                 2.0405,                 1.6736,                 3.1318,                 2.8032,              0.0066311,              0.0066311,              0.0066311
                      3,                 2.1105,                 1.9462,                 3.1226,                 2.3879,                0.31367,                0.27029,                0.23333,                 0.1242,                0.30419,                0.25988,                0.22706,                0.11435,                 1.7633,                 1.5864,                 2.7422,                  2.383,              0.0098984,              0.0098984,              0.0098984
                      4,                 1.9438,                 1.8864,                  2.814,                 2.1775,                0.44174,                0.33908,                 0.3293,                0.18102,                0.43447,                0.33661,                0.31817,                0.16039,                 1.5992,                 1.5199,                 2.4219,                 2.2055,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8307,                  1.842,                 2.5836,                 2.0674,                0.44725,                 0.4368,                0.41205,                0.22687,                0.44324,                0.43167,                0.40294,                0.20381,                 1.5755,                 1.5125,                  2.215,                  2.134,               0.009802,               0.009802,               0.009802
                      6,                 1.7721,                 1.7939,                  2.417,                   1.99,                0.52172,                0.47402,                0.47223,                0.26202,                0.51058,                0.46784,                0.45852,                 0.2392,                 1.5079,                   1.46,                 2.1131,                 2.0415,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7197,                  1.772,                 2.2891,                 1.9372,                0.57291,                0.54022,                0.56384,                0.32542,                0.57133,                0.52879,                0.54631,                0.28947,                 1.4412,                 1.4706,                 1.8031,                 1.9933,               0.009703,               0.009703,               0.009703
                      8,                 1.6905,                 1.7432,                 2.1909,                 1.8998,                0.54439,                0.55025,                0.56001,                0.32702,                0.52555,                 0.5422,                0.54266,                0.29089,                  1.401,                 1.3887,                 1.7926,                 1.9182,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.667,                 1.7346,                 2.1079,                 1.8656,                0.59866,                0.56471,                 0.5975,                0.34587,                 0.5868,                0.55423,                0.57835,                0.30816,                 1.3762,                 1.3871,                  1.737,                 1.8992,               0.009604,               0.009604,               0.009604
                     10,                 1.5952,                 1.6759,                 1.9617,                 1.8088,                0.63573,                0.58425,                0.62008,                 0.3707,                0.62718,                0.57731,                0.60208,                0.32988,                 1.3817,                 1.3664,                 1.6219,                 1.8873,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.5765,                 1.6648,                 1.9042,                 1.7849,                 0.6674,                0.58457,                0.62718,                0.37137,                 0.6682,                  0.568,                0.60905,                0.33124,                 1.3603,                  1.371,                 1.6377,                 1.8731,               0.009505,               0.009505,               0.009505
                     12,                 1.6181,                 1.6993,                  1.945,                 1.8151,                0.68068,                0.60485,                0.66359,                0.40085,                0.66577,                0.59921,                0.64631,                0.35972,                  1.318,                  1.345,                 1.5447,                 1.8095,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.5924,                 1.6741,                 1.8931,                 1.7853,                0.66823,                0.64628,                0.68627,                   0.43,                0.65415,                0.62789,                0.66436,                0.38102,                 1.2966,                 1.3137,                 1.4735,                 1.7805,               0.009406,               0.009406,               0.009406
                     14,                 1.5726,                 1.6592,                   1.85,                 1.7724,                0.70583,                0.64016,                0.69863,                0.42608,                0.71841,                0.61609,                0.67978,                0.38169,                 1.3159,                 1.3268,                  1.449,                 1.7997,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.5554,                 1.6356,                 1.8055,                 1.7503,                0.72877,                0.64688,                0.72012,                0.44882,                0.70739,                0.63859,                0.69853,                0.39917,                 1.2959,                 1.3024,                 1.3946,                 1.7673,               0.009307,               0.009307,               0.009307
