                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5389,                 1.9699,                 2.1746,                 1.4872,                0.66172,                0.61499,                 0.6489,                0.38213,                0.65349,                0.58062,                0.62199,                0.34084,                 1.3452,                 1.3268,                 1.5289,                 1.5557,             0.00027745,             0.00027745,             0.00027745
                      2,                 1.5494,                 1.6549,                 1.7941,                 1.4783,                0.70539,                0.62922,                0.69661,                0.42475,                0.69073,                0.62371,                0.67811,                  0.379,                 1.3042,                 1.3131,                 1.4075,                 1.5132,             0.00054412,             0.00054412,             0.00054412
                      3,                   1.55,                 1.6561,                 1.7569,                 1.4832,                0.70973,                0.60864,                0.68357,                 0.4207,                0.69867,                0.59775,                0.66218,                0.37014,                 1.3323,                  1.337,                  1.443,                 1.5287,              0.0007998,              0.0007998,              0.0007998
                      4,                 1.5151,                  1.622,                 1.6764,                 1.4628,                0.75999,                  0.689,                0.75949,                0.47121,                0.74382,                0.67435,                0.73661,                0.42123,                 1.2578,                 1.2681,                 1.2786,                 1.4835,             0.00078352,             0.00078352,             0.00078352
                      5,                 1.4783,                 1.5842,                  1.566,                 1.4337,                0.77357,                0.70452,                0.78278,                0.48461,                0.76321,                0.68746,                0.75436,                0.43636,                 1.2559,                 1.2589,                 1.1751,                 1.4619,             0.00076703,             0.00076703,             0.00076703
                      6,                 1.4441,                 1.5407,                 1.4911,                 1.4105,                0.79952,                0.75614,                0.82608,                0.52731,                0.79443,                0.73909,                0.80778,                0.47686,                 1.1952,                  1.221,                 1.0682,                 1.4083,             0.00075053,             0.00075053,             0.00075053
                      7,                 1.4168,                 1.5162,                 1.4058,                 1.3877,                0.80471,                0.78276,                0.83494,                 0.5305,                0.78974,                0.76896,                0.81408,                0.47559,                 1.1859,                 1.2715,                 1.0159,                 1.3969,             0.00073404,             0.00073404,             0.00073404
                      8,                 1.4032,                 1.4953,                 1.3651,                 1.3795,                0.81822,                0.77194,                0.83999,                0.55808,                0.83996,                0.73856,                0.81943,                0.50401,                 1.1398,                 1.1893,                0.96848,                 1.3532,             0.00071755,             0.00071755,             0.00071755
                      9,                 1.3865,                 1.4872,                 1.3127,                 1.3618,                0.83371,                0.77154,                0.85827,                0.57059,                0.81942,                 0.7586,                0.83593,                0.51265,                 1.1351,                 1.1661,                0.91369,                 1.3396,             0.00070105,             0.00070105,             0.00070105
                     10,                 1.3727,                 1.4835,                 1.2816,                 1.3497,                0.82895,                0.78851,                0.86097,                0.57164,                0.82157,                0.76957,                0.83943,                0.51613,                 1.1412,                 1.1325,                0.92177,                 1.3718,             0.00068456,             0.00068456,             0.00068456
                     11,                 1.3541,                 1.4401,                 1.2329,                 1.3385,                0.86068,                0.78433,                0.87255,                0.58339,                0.84521,                0.77052,                0.84972,                0.52672,                  1.116,                 1.1225,                0.88513,                 1.3285,             0.00066807,             0.00066807,             0.00066807
                     12,                 1.3429,                 1.4379,                 1.2111,                 1.3279,                 0.8522,                0.80053,                 0.8753,                0.58624,                 0.8403,                0.78885,                0.85461,                0.53045,                 1.1065,                 1.0983,                0.88311,                 1.3175,             0.00065157,             0.00065157,             0.00065157
                     13,                 1.3295,                 1.4036,                 1.1805,                 1.3187,                0.87275,                0.79893,                0.87772,                0.58941,                0.87325,                0.77642,                0.85361,                 0.5314,                 1.0942,                 1.1643,                0.84284,                   1.31,             0.00063508,             0.00063508,             0.00063508
                     14,                 1.3213,                 1.3965,                 1.1572,                 1.3114,                0.88032,                0.80244,                0.88504,                0.60343,                0.86886,                0.78977,                0.86624,                0.54513,                 1.1068,                 1.0988,                0.81201,                 1.3222,             0.00061859,             0.00061859,             0.00061859
                     15,                 1.3159,                 1.3978,                 1.1316,                 1.3064,                 0.8723,                0.80504,                0.88806,                0.60796,                0.85863,                0.79352,                0.86518,                0.54572,                 1.0819,                  1.062,                0.80816,                 1.3055,             0.00060209,             0.00060209,             0.00060209
                     16,                 1.3041,                 1.3672,                 1.1106,                 1.2992,                0.87573,                0.80325,                0.88329,                0.60079,                0.86923,                0.78771,                0.86465,                0.53573,                 1.1059,                 1.0979,                0.81057,                 1.3195,              0.0005856,              0.0005856,              0.0005856
                     17,                 1.2866,                 1.3658,                 1.0894,                  1.287,                0.86175,                0.81999,                0.89003,                0.60869,                0.84963,                0.80592,                0.86817,                0.54621,                 1.0781,                 1.0872,                0.77479,                 1.2967,             0.00056911,             0.00056911,             0.00056911
                     18,                 1.2808,                 1.3558,                 1.0657,                 1.2838,                0.86295,                0.81975,                0.89173,                0.62007,                0.85137,                0.80381,                0.87339,                0.56041,                  1.079,                 1.0446,                0.78819,                 1.2957,             0.00055261,             0.00055261,             0.00055261
                     19,                 1.2736,                 1.3398,                  1.055,                 1.2812,                0.87634,                0.80143,                0.89043,                0.61449,                0.88524,                0.78877,                0.87623,                 0.5588,                 1.0725,                  1.069,                0.78893,                  1.293,             0.00053612,             0.00053612,             0.00053612
                     20,                 1.2614,                 1.3239,                  1.029,                 1.2732,                0.86818,                0.83638,                0.90109,                0.62448,                0.85784,                0.82301,                0.88468,                0.56677,                 1.0548,                 1.0312,                0.75255,                 1.2705,             0.00051963,             0.00051963,             0.00051963
                     21,                 1.2488,                 1.3125,                 1.0067,                 1.2639,                0.86516,                0.82505,                0.89903,                0.62447,                0.85254,                0.81296,                 0.8806,                0.56712,                 1.0564,                 1.0498,                0.73717,                 1.2781,             0.00050313,             0.00050313,             0.00050313
                     22,                  1.243,                 1.3006,                 1.0009,                 1.2575,                0.87923,                0.84234,                0.90591,                0.62788,                0.88132,                0.81892,                 0.8821,                 0.5619,                 1.0498,                 1.0438,                0.73328,                 1.2646,             0.00048664,             0.00048664,             0.00048664
                     23,                 1.2348,                 1.2914,                0.98458,                 1.2529,                0.90065,                 0.8342,                0.90129,                0.62714,                0.88814,                0.81986,                0.88187,                0.56839,                 1.0533,                 1.0463,                 0.7309,                  1.274,             0.00047015,             0.00047015,             0.00047015
                     24,                 1.2284,                 1.2952,                0.96808,                 1.2491,                0.88365,                0.83509,                0.90486,                0.63587,                0.88998,                0.81743,                0.89093,                0.57735,                 1.0292,                 1.0272,                0.71483,                 1.2574,             0.00045365,             0.00045365,             0.00045365
                     25,                 1.2141,                 1.2846,                0.94333,                 1.2365,                0.89148,                0.84481,                0.90796,                0.63542,                0.88088,                0.83207,                0.89379,                0.57926,                 1.0423,                 1.0129,                0.70855,                 1.2641,             0.00043716,             0.00043716,             0.00043716
                     26,                 1.2117,                 1.2658,                0.93146,                 1.2363,                0.88386,                0.84606,                0.91073,                0.63856,                0.87823,                0.83786,                0.89778,                0.57792,                 1.0406,                 1.0399,                0.70912,                 1.2615,             0.00042066,             0.00042066,             0.00042066
