                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5129,                  1.878,                 2.0224,                 1.5414,                0.58203,                0.54368,                0.57044,                0.33039,                0.56833,                0.53079,                0.55114,                0.28892,                 1.3923,                 1.3699,                 1.8818,                 1.6813,             0.00027745,             0.00027745,             0.00027745
                      2,                 1.5573,                 1.6586,                 1.8301,                 1.5681,                0.66005,                0.62023,                0.66853,                 0.3976,                0.64133,                0.61574,                0.65068,                 0.3594,                 1.3556,                 1.3732,                 1.5462,                 1.6748,             0.00054412,             0.00054412,             0.00054412
                      3,                 1.5421,                 1.6503,                 1.7769,                 1.5649,                0.70986,                0.62484,                0.68244,                0.41611,                0.70566,                0.60827,                0.66154,                0.37319,                 1.3163,                  1.328,                 1.4796,                 1.6199,              0.0007998,              0.0007998,              0.0007998
                      4,                 1.4968,                 1.6045,                  1.661,                 1.5341,                0.76743,                0.66907,                0.74709,                0.48164,                0.76034,                0.65939,                0.73265,                0.42901,                 1.2126,                 1.2453,                 1.2489,                 1.5226,             0.00078352,             0.00078352,             0.00078352
                      5,                  1.461,                 1.5613,                 1.5469,                 1.5085,                0.75289,                0.68703,                0.77709,                0.48708,                0.76484,                0.66119,                0.75472,                0.44123,                  1.233,                 1.2419,                 1.2223,                 1.5443,             0.00076703,             0.00076703,             0.00076703
                      6,                 1.4206,                  1.518,                 1.4452,                 1.4765,                0.82462,                0.74209,                0.82696,                0.53333,                0.80666,                0.72846,                0.80443,                0.47995,                 1.1682,                 1.2007,                 1.0495,                 1.4812,             0.00075053,             0.00075053,             0.00075053
                      7,                 1.3905,                   1.49,                 1.3679,                 1.4547,                 0.8459,                0.72993,                0.83408,                 0.5547,                0.82765,                0.72598,                 0.8183,                0.50097,                 1.1362,                 1.2001,                 1.0027,                 1.4726,             0.00073404,             0.00073404,             0.00073404
                      8,                 1.3711,                 1.4662,                 1.3216,                 1.4372,                0.86033,                0.75775,                0.85545,                0.57593,                0.85368,                0.74067,                0.83532,                0.51559,                 1.1088,                 1.1365,                0.93835,                 1.4435,             0.00071755,             0.00071755,             0.00071755
                      9,                 1.3538,                 1.4498,                 1.2608,                 1.4227,                0.83791,                0.77091,                 0.8564,                0.58707,                0.84116,                0.75086,                 0.8336,                0.52556,                 1.0802,                 1.1229,                0.92339,                 1.4026,             0.00070105,             0.00070105,             0.00070105
                     10,                 1.3379,                 1.4464,                 1.2199,                 1.4068,                0.85902,                0.78729,                0.86743,                0.59178,                0.85452,                0.77485,                0.84839,                0.53425,                 1.1125,                 1.0891,                0.87362,                 1.4426,             0.00068456,             0.00068456,             0.00068456
